vuln_id,name,version,ecosystem,file,line,severity,description,fixed_in,published,modified,references
GHSA-29mw-wpgm-hmr9,lodash,4.17.19,npm,/home/m3str3/code/rootcause/insecures/dependences/package.json,1,HIGH,Regular Expression Denial of Service (ReDoS) in lodash,,,,
GHSA-35jh-r3h4-6jhm,lodash,4.17.19,npm,/home/m3str3/code/rootcause/insecures/dependences/package.json,1,HIGH,Command Injection in lodash,,,,
GHSA-xxjr-mmjv-4gpg,lodash,4.17.19,npm,/home/m3str3/code/rootcause/insecures/dependences/package.json,1,HIGH,Lodash has Prototype Pollution Vulnerability in `_.unset` and `_.omit` functions,,,,
GHSA-43fc-jf86-j433,axios,1.5.0,npm,/home/m3str3/code/rootcause/insecures/dependences/package.json,1,HIGH,Axios is Vulnerable to Denial of Service via __proto__ Key in mergeConfig,,,,
GHSA-4hjh-wcwx-xvwj,axios,1.5.0,npm,/home/m3str3/code/rootcause/insecures/dependences/package.json,1,HIGH,Axios is vulnerable to DoS attack through lack of data size check,,,,
GHSA-8hc4-vh64-cxmj,axios,1.5.0,npm,/home/m3str3/code/rootcause/insecures/dependences/package.json,1,HIGH,Server-Side Request Forgery in axios,,,,
GHSA-jr5f-v2jv-69x6,axios,1.5.0,npm,/home/m3str3/code/rootcause/insecures/dependences/package.json,1,HIGH,axios Requests Vulnerable To Possible SSRF and Credential Leakage via Absolute URL,,,,
GHSA-wf5p-g6vw-rhxx,axios,1.5.0,npm,/home/m3str3/code/rootcause/insecures/dependences/package.json,1,HIGH,Axios Cross-Site Request Forgery Vulnerability,,,,
GHSA-qw6h-vgh9-j6wx,express,4.18.2,npm,/home/m3str3/code/rootcause/insecures/dependences/package.json,1,HIGH,express vulnerable to XSS via response.redirect(),,,,
GHSA-rv95-896h-c2vc,express,4.18.2,npm,/home/m3str3/code/rootcause/insecures/dependences/package.json,1,HIGH,Express.js Open Redirect in malformed URLs,,,,
GHSA-6rw7-vpxm-498p,qs,6.14.0,npm,/home/m3str3/code/rootcause/insecures/dependences/node_modules/express/package.json,1,HIGH,qs's arrayLimit bypass in its bracket notation allows DoS via memory exhaustion,,,,
GHSA-w7fw-mjwx-w883,qs,6.14.0,npm,/home/m3str3/code/rootcause/insecures/dependences/node_modules/express/package.json,1,HIGH,qs's arrayLimit bypass in comma parsing allows denial of service,,,,
GHSA-ghr5-ch3p-vcr6,ejs,3.1.9,npm,/home/m3str3/code/rootcause/insecures/dependences/node_modules/express/package.json,1,HIGH,ejs lacks certain pollution protection,,,,
GHSA-5v2h-r2cx-5xgj,marked,0.7.0,npm,/home/m3str3/code/rootcause/insecures/dependences/node_modules/express/package.json,1,HIGH,Inefficient Regular Expression Complexity in marked,,,,
GHSA-rrrm-qjm4-v8hf,marked,0.7.0,npm,/home/m3str3/code/rootcause/insecures/dependences/node_modules/express/package.json,1,HIGH,Inefficient Regular Expression Complexity in marked,,,,
GHSA-5j98-mcp5-4vw2,glob,10.3.7,npm,/home/m3str3/code/rootcause/insecures/dependences/node_modules/object-inspect/package.json,1,HIGH,glob CLI: Command injection via -c/--cmd executes matches with shell:true,,,,
GHSA-p8p7-x288-28g6,request,2.87.0,npm,/home/m3str3/code/rootcause/insecures/dependences/node_modules/iconv-lite/package.json,1,HIGH,Server-Side Request Forgery in Request,,,,
GHSA-44fp-w29j-9vj5,multer,1.4.4,npm,/home/m3str3/code/rootcause/insecures/dependences/node_modules/axios/package.json,1,HIGH,Multer vulnerable to Denial of Service via memory leaks from unclosed streams,,,,
GHSA-4pg4-qvpc-4q3h,multer,1.4.4,npm,/home/m3str3/code/rootcause/insecures/dependences/node_modules/axios/package.json,1,HIGH,Multer vulnerable to Denial of Service from maliciously crafted requests,,,,
GHSA-5528-5vmv-3xc2,multer,1.4.4,npm,/home/m3str3/code/rootcause/insecures/dependences/node_modules/axios/package.json,1,HIGH,Multer Vulnerable to Denial of Service via Uncontrolled Recursion,,,,
GHSA-fjgf-rc76-4x9p,multer,1.4.4,npm,/home/m3str3/code/rootcause/insecures/dependences/node_modules/axios/package.json,1,HIGH,Multer vulnerable to Denial of Service via unhandled exception from malformed request,,,,
GHSA-g5hg-p3ph-g8qg,multer,1.4.4,npm,/home/m3str3/code/rootcause/insecures/dependences/node_modules/axios/package.json,1,HIGH,Multer vulnerable to Denial of Service via unhandled exception,,,,
GHSA-v52c-386h-88mc,multer,1.4.4,npm,/home/m3str3/code/rootcause/insecures/dependences/node_modules/axios/package.json,1,HIGH,Multer vulnerable to Denial of Service via resource exhaustion,,,,
GHSA-xf7r-hgr6-v32p,multer,1.4.4,npm,/home/m3str3/code/rootcause/insecures/dependences/node_modules/axios/package.json,1,HIGH,Multer vulnerable to Denial of Service via incomplete cleanup,,,,
GHSA-mw96-cpmx-2vgc,rollup,2.79.2,npm,/home/m3str3/code/rootcause/insecures/dependences/node_modules/axios/package.json,1,HIGH,Rollup 4 has Arbitrary File Write via Path Traversal,,,,
GHSA-6rw7-vpxm-498p,qs,6.14.0,npm,/home/m3str3/code/rootcause/insecures/dependences/node_modules/body-parser/package.json,1,HIGH,qs's arrayLimit bypass in its bracket notation allows DoS via memory exhaustion,,,,
GHSA-w7fw-mjwx-w883,qs,6.14.0,npm,/home/m3str3/code/rootcause/insecures/dependences/node_modules/body-parser/package.json,1,HIGH,qs's arrayLimit bypass in comma parsing allows denial of service,,,,
GHSA-qw6h-vgh9-j6wx,express,4.16.4,npm,/home/m3str3/code/rootcause/insecures/dependences/node_modules/follow-redirects/package.json,1,HIGH,express vulnerable to XSS via response.redirect(),,,,
GHSA-rv95-896h-c2vc,express,4.16.4,npm,/home/m3str3/code/rootcause/insecures/dependences/node_modules/follow-redirects/package.json,1,HIGH,Express.js Open Redirect in malformed URLs,,,,
GHSA-7x7c-qm48-pq9c,karma,1.3.0,npm,/home/m3str3/code/rootcause/insecures/dependences/node_modules/debug/package.json,1,HIGH,Cross-site Scripting in karma,,,,
GHSA-rc3x-jf5g-xvc5,karma,1.3.0,npm,/home/m3str3/code/rootcause/insecures/dependences/node_modules/debug/package.json,1,HIGH,Open redirect in karma,,,,
GHSA-5j98-mcp5-4vw2,glob,10.3.7,npm,/home/m3str3/code/rootcause/insecures/dependences/node_modules/qs/package.json,1,HIGH,glob CLI: Command injection via -c/--cmd executes matches with shell:true,,,,
GHSA-p8p7-x288-28g6,request,2.87.0,npm,/home/m3str3/code/rootcause/insecures/dependences/node_modules/form-data/package.json,1,HIGH,Server-Side Request Forgery in Request,,,,
